audio_path,transcript,duration
timit/data/TRAIN/DR4/MJRH0/SX315.WAV,bob found more clams at the oceans edge,47514
timit/data/TRAIN/DR4/MJRH0/SI1755.WAV,only then did he decide he didnt want one,48743
timit/data/TRAIN/DR4/MJRH0/SX405.WAV,of course you can have another tunafish sandwich,43316
timit/data/TRAIN/DR4/MJRH0/SX225.WAV,keep the thermometer under your tongue,32564
timit/data/TRAIN/DR4/MJRH0/SX45.WAV,addition and subtraction are learned skills,45261
timit/data/TRAIN/DR4/MJRH0/SX135.WAV,technical writers can abbreviate in bibliographies,53146
timit/data/TRAIN/DR4/MJRH0/SI1840.WAV,the good man chortled appreciatively and decided the trip was worth his time,75981
timit/data/TRAIN/DR4/MLSH0/SI787.WAV,feed pressure is also of major importance,45261
timit/data/TRAIN/DR4/MLSH0/SX67.WAV,last years gas shortage caused steep price increases,54887
timit/data/TRAIN/DR4/MLSH0/SI1417.WAV,there should be no reason to misinterpret or ignore the intent of this letter,68506
timit/data/TRAIN/DR4/MLSH0/SI2047.WAV,stay right here where you are kid he called,44647
timit/data/TRAIN/DR4/MLSH0/SX427.WAV,every cab needs repainting often,39117
timit/data/TRAIN/DR4/MLSH0/SX157.WAV,remove the splinter with a pair of tweezers,40858
timit/data/TRAIN/DR4/MLSH0/SX247.WAV,the cigarettes in the clay ashtray overflowed onto the oak table,69837
timit/data/TRAIN/DR4/MLSH0/SX337.WAV,bob bandaged both wounds with the skill of a doctor,46592
timit/data/TRAIN/DR4/MTAS0/SI2015.WAV,the lifeboats were stuck fast,28365
timit/data/TRAIN/DR4/MTAS0/SX305.WAV,cottage cheese with chives is delicious,35328
timit/data/TRAIN/DR4/MTAS0/SI1385.WAV,markets should become more competitive as consumers become more selective,56730
timit/data/TRAIN/DR4/MTAS0/SX215.WAV,the sermon emphasized the need for affirmative action,43828
timit/data/TRAIN/DR4/MTAS0/SI755.WAV,equipment basic pottery studio equipment,36148
timit/data/TRAIN/DR4/MTAS0/SX395.WAV,i took her word for it but is she really going with you,43213
timit/data/TRAIN/DR4/MTAS0/SX125.WAV,westchester is a county in new york,31437
timit/data/TRAIN/DR4/MTAS0/SX35.WAV,help celebrate your brothers success,31130
timit/data/TRAIN/DR4/MLJC0/SI1225.WAV,the tragic stage is a platform extending precariously between heaven and hell,86733
timit/data/TRAIN/DR4/MLJC0/SX415.WAV,move the garbage nearer to the large window,43520
timit/data/TRAIN/DR4/MLJC0/SI595.WAV,their privations are almost beyond endurance,44954
timit/data/TRAIN/DR4/MLJC0/SX145.WAV,too much curiosity can get you into trouble,47412
timit/data/TRAIN/DR4/MLJC0/SX55.WAV,the lack of heat compounded the tenants grievances,43520
timit/data/TRAIN/DR4/MLJC0/SX235.WAV,i itemize all accounts in my agency,47514
timit/data/TRAIN/DR4/MLJC0/SX325.WAV,the full moon shone brightly that night,42292
timit/data/TRAIN/DR4/MLJC0/SI1855.WAV,people never live forever,31744
timit/data/TRAIN/DR4/MJSR0/SX164.WAV,curiosity and mediocrity seldom coexist,55604
timit/data/TRAIN/DR4/MJSR0/SI794.WAV,you should firmly insist that no bobby pins or hair pins be worn in the water,82944
timit/data/TRAIN/DR4/MJSR0/SI1424.WAV,it had assumed the terrifying inertia of inanimate matter,59392
timit/data/TRAIN/DR4/MJSR0/SX74.WAV,an official deadline cannot be postponed,58676
timit/data/TRAIN/DR4/MJSR0/SX344.WAV,i know i didnt meet her early enough,48845
timit/data/TRAIN/DR4/MJSR0/SX434.WAV,each stag surely finds a big fawn,52429
timit/data/TRAIN/DR4/MJSR0/SI2054.WAV,he slipped outside hugging the walls of buildings and dodging into doorways,80999
timit/data/TRAIN/DR4/MJSR0/SX254.WAV,do they allow atheists in church,48845
timit/data/TRAIN/DR4/MJAC0/SX307.WAV,the meeting is now adjourned,32359
timit/data/TRAIN/DR4/MJAC0/SI2148.WAV,look somewhere else,26522
timit/data/TRAIN/DR4/MJAC0/SI1331.WAV,no fasciculations or sensory defects were found,50688
timit/data/TRAIN/DR4/MJAC0/SX71.WAV,porcupines resemble sea urchins,42906
timit/data/TRAIN/DR4/MJAC0/SX431.WAV,the fifth jar contains big juicy peaches,52122
timit/data/TRAIN/DR4/MJAC0/SX341.WAV,the high security prison was surrounded by barbed wire,50279
timit/data/TRAIN/DR4/MJAC0/SX251.WAV,we apply auditory modeling to computer speech recognition,67584
timit/data/TRAIN/DR4/MJAC0/SI701.WAV,there are people who travel long distances to assure my continued existence,70964
timit/data/TRAIN/DR4/FCAG0/SI1641.WAV,were you in love with that girl,23860
timit/data/TRAIN/DR4/FCAG0/SX63.WAV,continental drift is a geological theory,41472
timit/data/TRAIN/DR4/FCAG0/SX153.WAV,scholastic aptitude is judged by standardized tests,51917
timit/data/TRAIN/DR4/FCAG0/SX423.WAV,smash lightbulbs and their cash value will diminish to nothing,55501
timit/data/TRAIN/DR4/FCAG0/SI2133.WAV,here they did not need to be in ghettos,33383
timit/data/TRAIN/DR4/FCAG0/SX333.WAV,an adult male baboons teeth are not suitable for eating shellfish,62260
timit/data/TRAIN/DR4/FCAG0/SI1503.WAV,by the look of him he wasnt that far gone,36660
timit/data/TRAIN/DR4/FCAG0/SX243.WAV,they all agree that the essay is barely intelligible,44852
timit/data/TRAIN/DR4/FJWB1/SX165.WAV,the easygoing zoologist relaxed throughout the voyage,45876
timit/data/TRAIN/DR4/FJWB1/SI795.WAV,when shed they leave rust marks,43111
timit/data/TRAIN/DR4/FJWB1/SX75.WAV,fill that canteen with fresh spring water,34714
timit/data/TRAIN/DR4/FJWB1/SX345.WAV,trish saw hours and hours of movies saturday,44032
timit/data/TRAIN/DR4/FJWB1/SI2055.WAV,cant seem to locate landmarks in this snow,39732
timit/data/TRAIN/DR4/FJWB1/SX435.WAV,the rich should invest in black zircons instead of stylish shoes,54375
timit/data/TRAIN/DR4/FJWB1/SI748.WAV,to prepare mustard cream blend mustard with enough water to make a thin paste,66663
timit/data/TRAIN/DR4/FJWB1/SX255.WAV,my ideal morning begins with hot coffee,34919
timit/data/TRAIN/DR4/FSAK0/SX310.WAV,the hood of the jeep was steaming in the hot sun,52634
timit/data/TRAIN/DR4/FSAK0/SX400.WAV,just drop notices in any suggestion box,44032
timit/data/TRAIN/DR4/FSAK0/SX220.WAV,the most recent geological survey found seismic activity,55194
timit/data/TRAIN/DR4/FSAK0/SX40.WAV,stimulating discussions keep students attention,46080
timit/data/TRAIN/DR4/FSAK0/SX130.WAV,he had four extra eggs for breakfast,32154
timit/data/TRAIN/DR4/FSAK0/SI1930.WAV,a rabbit punch redoubled him,26829
timit/data/TRAIN/DR4/FSAK0/SI670.WAV,neglect means spiritual paralysis or death,47821
timit/data/TRAIN/DR4/FSAK0/SI1300.WAV,he can for example present significant universitywide issues to the senate,74240
timit/data/TRAIN/DR4/MJPM1/SX311.WAV,my desires are simple give me one informative paragraph on the subject,77005
timit/data/TRAIN/DR4/MJPM1/SX401.WAV,the taxicab broke down and caused a traffic jam,47002
timit/data/TRAIN/DR4/MJPM1/SI2280.WAV,many shapes in bathtubs,30618
timit/data/TRAIN/DR4/MJPM1/SX41.WAV,etiquette mandates compliance with existing regulations,59290
timit/data/TRAIN/DR4/MJPM1/SI761.WAV,paperweight may be personalized on back while clay is leather hard,63181
timit/data/TRAIN/DR4/MJPM1/SX221.WAV,cory attacked the project with extra determination,48948
timit/data/TRAIN/DR4/MJPM1/SX131.WAV,we plan to build a new beverage plant,35328
timit/data/TRAIN/DR4/MJPM1/SI1897.WAV,she seemed irritated,22733
timit/data/TRAIN/DR4/MPEB0/SI1860.WAV,were not drunkards she said,26624
timit/data/TRAIN/DR4/MPEB0/SI1034.WAV,she snarled warningly,23348
timit/data/TRAIN/DR4/MPEB0/SX60.WAV,the legislature met to judge the state of public education,52020
timit/data/TRAIN/DR4/MPEB0/SX150.WAV,vietnamese cuisine is exquisite,36352
timit/data/TRAIN/DR4/MPEB0/SX420.WAV,seamstresses attach zippers with a thimble needle and thread,55399
timit/data/TRAIN/DR4/MPEB0/SI600.WAV,originals are not necessarily good and adaptations are not necessarily bad,67277
timit/data/TRAIN/DR4/MPEB0/SX330.WAV,count the number of teaspoons of soysauce that you add,47821
timit/data/TRAIN/DR4/MPEB0/SX240.WAV,its not easy to create illuminating examples,42189
timit/data/TRAIN/DR4/MARW0/SI646.WAV,nice even if a trifle gaudy,38605
timit/data/TRAIN/DR4/MARW0/SX106.WAV,a huge tapestry hung in her hallway,47002
timit/data/TRAIN/DR4/MARW0/SI1906.WAV,they had chosen this night purposely,33792
timit/data/TRAIN/DR4/MARW0/SX16.WAV,a roll of wire lay near the wall,42701
timit/data/TRAIN/DR4/MARW0/SX376.WAV,women may never become completely equal to men,47002
timit/data/TRAIN/DR4/MARW0/SX349.WAV,the preschooler couldnt verbalize her feelings about the emergency conditions,82125
timit/data/TRAIN/DR4/MARW0/SX286.WAV,in every major cloverleaf traffic sometimes gets backed up,69632
timit/data/TRAIN/DR4/MARW0/SI1276.WAV,landbased radar would help with this task,46285
timit/data/TRAIN/DR4/FLHD0/SX264.WAV,we saw eight tiny icicles below our roof,45159
timit/data/TRAIN/DR4/FLHD0/SI1344.WAV,experiment without a fixed number of trials,42496
timit/data/TRAIN/DR4/FLHD0/SX174.WAV,the haunted house was a hit due to outstanding audiovisual effects,61440
timit/data/TRAIN/DR4/FLHD0/SI1974.WAV,as if drawn by a wire the enemy flew into them,48128
timit/data/TRAIN/DR4/FLHD0/SI1827.WAV,maybe it would work the other way,28570
timit/data/TRAIN/DR4/FLHD0/SX84.WAV,cooperation along with understanding alleviate dispute,53044
timit/data/TRAIN/DR4/FLHD0/SX354.WAV,a lawyer was appointed to execute her will,38093
timit/data/TRAIN/DR4/FLHD0/SX444.WAV,the toddler found a clamshell near the camp site,45261
timit/data/TRAIN/DR4/MESG0/SI1332.WAV,thyroid function tests yielded normal results,48026
timit/data/TRAIN/DR4/MESG0/SX72.WAV,spring street is straight ahead,26829
timit/data/TRAIN/DR4/MESG0/SI1962.WAV,another snarled close overhead,31130
timit/data/TRAIN/DR4/MESG0/SX162.WAV,her auburn hair reminded him of autumn leaves,51815
timit/data/TRAIN/DR4/MESG0/SX342.WAV,take charge of choosing her brides maids gowns,54272
timit/data/TRAIN/DR4/MESG0/SX432.WAV,coffee is grown on steep junglelike slopes in temperate zones,63796
timit/data/TRAIN/DR4/MESG0/SX252.WAV,the gorgeous butterfly ate a lot of nectar,40756
timit/data/TRAIN/DR4/MESG0/SI702.WAV,we have also seen the power of faith at work among us,69940
timit/data/TRAIN/DR4/FSSB0/SX272.WAV,allow each child to have an ice pop,40039
timit/data/TRAIN/DR4/FSSB0/SI1082.WAV,a new order is thrusting itself into being,59188
timit/data/TRAIN/DR4/FSSB0/SX362.WAV,the annoying raccoons slipped into phils garden every night,71885
timit/data/TRAIN/DR4/FSSB0/SX92.WAV,a large household needs lots of appliances,54989
timit/data/TRAIN/DR4/FSSB0/SX182.WAV,thick glue oozed out of the tube,45261
timit/data/TRAIN/DR4/FSSB0/SI2342.WAV,not when i was a kid,24269
timit/data/TRAIN/DR4/FSSB0/SX452.WAV,in developing film many toxic chemicals are used,59904
timit/data/TRAIN/DR4/FSSB0/SI1712.WAV,you think somebody is going to stand up in the audience and make guilty faces,68404
timit/data/TRAIN/DR4/MTRC0/SX273.WAV,the angry boy answered but didnt look up,30106
timit/data/TRAIN/DR4/MTRC0/SI1623.WAV,there was much embracing much exclaiming,34407
timit/data/TRAIN/DR4/MTRC0/SX170.WAV,the mayan neoclassic scholar disappeared while surveying ancient ruins,62874
timit/data/TRAIN/DR4/MTRC0/SX363.WAV,the cow wandered from the farmland and became lost,40960
timit/data/TRAIN/DR4/MTRC0/SX93.WAV,cut a small corner off each edge,29184
timit/data/TRAIN/DR4/MTRC0/SI993.WAV,he met nobody he knew on this walk,31744
timit/data/TRAIN/DR4/MTRC0/SX183.WAV,why else would danny allow others to go,37376
timit/data/TRAIN/DR4/MTRC0/SI589.WAV,one of the problems associated with the expressway stems from the basic idea,65639
timit/data/TRAIN/DR4/MDMA0/SX260.WAV,remember to allow identical twins to enter freely,57344
timit/data/TRAIN/DR4/MDMA0/SI2060.WAV,thank you she said dusting herself off,49869
timit/data/TRAIN/DR4/MDMA0/SX170.WAV,the mayan neoclassic scholar disappeared while surveying ancient ruins,78644
timit/data/TRAIN/DR4/MDMA0/SI1430.WAV,at no time were algae found in the mixed liquor,54170
timit/data/TRAIN/DR4/MDMA0/SI1238.WAV,how on earth do you manage it,34304
timit/data/TRAIN/DR4/MDMA0/SX350.WAV,many wealthy tycoons splurged and bought both a yacht and a schooner,73216
timit/data/TRAIN/DR4/MDMA0/SX80.WAV,its illegal to postdate a check,39424
timit/data/TRAIN/DR4/MDMA0/SX440.WAV,the advertising verse of plymouth variety store never changes,74548
timit/data/TRAIN/DR4/MRFL0/SI526.WAV,we congratulate the entire membership on its record of good legislation,65946
timit/data/TRAIN/DR4/MRFL0/SX166.WAV,biologists use radioactive isotopes to study microorganisms,67687
timit/data/TRAIN/DR4/MRFL0/SX76.WAV,gently place jims foam sculpture in the box,51303
timit/data/TRAIN/DR4/MRFL0/SI1156.WAV,this is what necessitates the nonsystematic character of his astronomy,74752
timit/data/TRAIN/DR4/MRFL0/SI1786.WAV,the mans eyelids fluttered,34100
timit/data/TRAIN/DR4/MRFL0/SX436.WAV,please sing just the club theme,36352
timit/data/TRAIN/DR4/MRFL0/SX346.WAV,the barracuda recoiled from the serpents poisonous fangs,60519
timit/data/TRAIN/DR4/MRFL0/SX256.WAV,the irate actor stomped away idiotically,45978
timit/data/TRAIN/DR4/FALR0/SI1325.WAV,quite often honeybees form a majority on the willow catkins,52122
timit/data/TRAIN/DR4/FALR0/SI695.WAV,the new birth is immediate and instantaneous,45568
timit/data/TRAIN/DR4/FALR0/SX65.WAV,challenge each generals intelligence,37684
timit/data/TRAIN/DR4/FALR0/SX155.WAV,the water contained too much chlorine and stung his eyes,48333
timit/data/TRAIN/DR4/FALR0/SX425.WAV,movies never have enough villains,31130
timit/data/TRAIN/DR4/FALR0/SI1955.WAV,like enough well all be up on top by sundown,40960
timit/data/TRAIN/DR4/FALR0/SX245.WAV,does hindu ideology honor cows,39936
timit/data/TRAIN/DR4/FALR0/SX335.WAV,gus saw pine trees and redwoods on his walk through sequoia national forest,64717
timit/data/TRAIN/DR4/MJDC0/SI531.WAV,he spoke briefly sensibly to the point and without oratorical flourishes,93696
timit/data/TRAIN/DR4/MJDC0/SX261.WAV,do you have the yellow ointment ready,27751
timit/data/TRAIN/DR4/MJDC0/SI2165.WAV,no really right as rain,29492
timit/data/TRAIN/DR4/MJDC0/SX171.WAV,the diagnosis was discouraging however he was not overly worried,53146
timit/data/TRAIN/DR4/MJDC0/SX351.WAV,the new suburbanites worked hard on refurbishing their older home,49152
timit/data/TRAIN/DR4/MJDC0/SX81.WAV,its impossible to deal with bureaucracy,31335
timit/data/TRAIN/DR4/MJDC0/SI1161.WAV,with each song he gave verbal footnotes,36660
timit/data/TRAIN/DR4/MJDC0/SX441.WAV,dont look for group valuables in a bank vault,36762
timit/data/TRAIN/DR4/MPRK0/SX107.WAV,birthday parties have cupcakes and ice cream,48538
timit/data/TRAIN/DR4/MPRK0/SI1727.WAV,check the overnighters out,42906
timit/data/TRAIN/DR4/MPRK0/SX17.WAV,carl lives in a lively home,52429
